USGS Water name,Common water Name,Section number 2,County,Survey date,Survey Record,Upstream Survey Latitude,Dowstream Survey Latitude,Upstream Survey Longitude,Downstream Survey Longitude,Section length (ft),Average wetted width (ft),Average water depth (ft),Air temperature (F),Water temperature (C),Flatwater %,Pool %,Riffle %,Water clarity (ft),Survey direction,Weather,Family,Order,Genus,Species,Sub-species,Strain,Fish name,Estimated density (fish/mi),Survey notes,Water Latitude,Water Longitude
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,8/4/2008,2371,41.1748833,41.174033,122.2877,122.293665,1096,99.7,1.2,53.6,12,85,0,15,6,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",1624,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107,Shasta,8/4/2008,2371,41.1748833,41.174033,122.2877,122.293665,1096,99.7,1.2,53.6,12,85,0,15,6,Downstream,clear sunny,Cottidae,Scorpaeniformes,all,spp.,,,sculpin,67,,41.225723,-122.27709
Sacramento River,Upper Sacramento River at Dunsmuir City Park,UPP-107L,Shasta,8/4/2008,2371,41.1748,44.1720.33,-122.292717,122.29635,395,69,2.2,66.2,12,0,100,0,8,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",7379,,41.225723,-122.27709
Kern River,Kern River,KER-109,Tulare,10/6/2009,2375,36.13498,36.13487,-118.42547,-118.42621,224,70.3,1.7,66.2,7,0,0,100,8,Downstream,clear and windy,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",118,,36.03052,-118.4671
Kern River,Kern River,KER-109,Tulare,10/6/2009,2375,36.13498,36.13487,-118.42547,-118.42621,224,70.3,1.7,66.2,7,0,0,100,8,Downstream,clear and windy,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",47,,36.03052,-118.4671
Kern River,Kern River,KER-209,Tulare,10/6/2009,2375,36.13493,36.13481,117.42795,118.42899,290,56.1,1.8,73.4,7,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",146,,36.03052,-118.4671
Kern River,Kern River,KER-309,Tulare,10/6/2009,2375,36.13476,36.13437,118.42944,118.43016,241,56.4,4.5,93.2,8,0,100,0,15,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",1446,,36.03052,-118.4671
Kern River,Kern River,KER-309,Tulare,10/6/2009,2375,36.13476,36.13437,118.42944,118.43016,241,56.4,4.5,93.2,8,0,100,0,15,Downstream,clear sunny,Catostomidae,Cypriniformes,Catostomus,occidentalis,,Sacramento,"sucker, Sacramento",548,,36.03052,-118.4671
Kern River,Kern River,KER-409,Tulare,10/6/2009,2375,36.13434,36.13393,118.43146,118.43289,433.5,68.2,2.1,,8,100,0,0,10,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,gilberti,Kern River,"trout, rainbow, Kern River",61,,36.03052,-118.4671
Sacramento River,Upper Sacramento River at State Park,UPP-207L,Shasta,8/4/2008,2382,41.13435,41.13373,122.32043,122.31963,333,67,2.1,82.4,18,100,0,0,6+,Downstream,clear sunny,Salmonidae,Salmoniformes,Oncorhynchus,mykiss,irideus,,"trout, rainbow, coastal",9117,,41.16413,-122.29422
